,net_name,method,source_dataset,net_number,set_size,alpha,alpha_cov,beta,beta_cov,threshold_acc,discrim_threshold,log_set_size,log_discrim_threshold
62,alexnet,transfer,ImageNet,4,4,0.5100793676193937,8.39100326575448e-05,0.053068900329768506,6.35230545231571e-05,0.75,0.5105105105105106,0.6020599913279624,-0.2919953121280459
63,alexnet,transfer,ImageNet,4,8,0.6198847087866607,6.01093345046575e-05,0.12578976172867262,4.8488852988915545e-05,0.75,0.6196196196196196,0.9030899869919435,-0.2078748392058643
64,alexnet,transfer,ImageNet,5,1,0.36731019209740184,1.7615413048939317e-05,0.01887451143862027,0.00025004553300424893,0.75,0.36736736736736736,0.0,-0.43489942397389303
65,alexnet,transfer,ImageNet,5,2,0.4807741348258135,7.171947150265969e-06,0.031076122359748375,4.8287628604959325e-06,0.75,0.4804804804804805,0.3010299956639812,-0.3183242508503951
66,alexnet,transfer,ImageNet,5,4,0.5207363591391792,6.731355796613498e-05,0.06033642405284518,5.218463988079264e-05,0.75,0.5205205205205206,0.6020599913279624,-0.2835621445911831
67,alexnet,transfer,ImageNet,5,8,0.7420199755178871,5.496001559013693e-05,0.11672447717004905,4.6408452539326704e-05,0.75,0.7417417417417418,0.9030899869919435,-0.1297472802466541
68,alexnet,transfer,ImageNet,6,1,0.3748124212578424,0.0006181732587173145,0.014457724235982933,0.0012389288990235238,0.75,0.3743743743743744,0.0,-0.4266938860255022
69,alexnet,transfer,ImageNet,6,2,0.5116418446940962,4.435924538458264e-05,0.03500046727070576,2.6664629806718846e-05,0.75,0.5115115115115115,0.3010299956639812,-0.2911445880912696
70,alexnet,transfer,ImageNet,6,4,0.5011482746602752,6.40070973943702e-05,0.061333596494271336,4.92616016242887e-05,0.75,0.5015015015015015,0.6020599913279624,-0.29972776235873655
71,alexnet,transfer,ImageNet,6,8,0.5558816048083777,0.000283801615186969,0.14045430555900848,0.00023051288277601504,0.75,0.5555555555555556,0.9030899869919435,-0.255272505103306
72,alexnet,transfer,ImageNet,7,1,0.4062672262655708,0.0002169274816356768,0.01760476259498293,3.462830909384964e-05,0.75,0.4064064064064064,0.0,-0.3910394546487882
73,alexnet,transfer,ImageNet,7,2,0.543554614437094,0.0001067288787416567,0.06226231188440172,8.352476056894365e-05,0.75,0.5435435435435435,0.3010299956639812,-0.2647656586371354
74,alexnet,transfer,ImageNet,7,4,0.6179098981861567,0.00013008881302736304,0.0992530065059823,0.00010233819027098573,0.75,0.6176176176176176,0.6020599913279624,-0.20928032419274065
75,alexnet,transfer,ImageNet,7,8,0.7621940661749164,2.8573830472254596e-05,0.11117263034838878,2.42219954629655e-05,0.75,0.7617617617617618,0.9030899869919435,-0.11818083145540946
76,alexnet,transfer,ImageNet,8,1,0.38955638046549895,7.907806536904457e-05,0.014735720481010262,2.6594955365921058e-05,0.75,0.3893893893893894,0.0,-0.40961588690027456
77,alexnet,transfer,ImageNet,8,2,0.5501072623372776,0.00011509288372393328,0.05978565864118146,9.033445705645875e-05,0.75,0.5505505505505506,0.3010299956639812,-0.2592027987317384
78,alexnet,transfer,ImageNet,8,4,0.505422999654866,0.00013553822962501149,0.08464572001066761,0.00010565635344489842,0.75,0.5055055055055055,0.6020599913279624,-0.2962741101073209
79,alexnet,transfer,ImageNet,8,8,0.613256986370406,0.0003975560819093844,0.1686684025284939,0.00034889155303941384,0.75,0.6136136136136137,0.9030899869919435,-0.21210501370756724
80,alexnet,transfer,Stylized ImageNet,1,1,0.5202889121128998,1.3413505243866615e-06,0.02146576527695906,7.540932349913497e-07,0.75,0.5205205205205206,0.0,-0.2835621445911831
81,alexnet,transfer,Stylized ImageNet,1,2,0.5548679801761995,4.889917761212313e-06,0.034824913042851596,5.324736572157574e-06,0.75,0.5545545545545546,0.3010299956639812,-0.2560557234975525
82,alexnet,transfer,Stylized ImageNet,1,4,0.5834719652869284,3.0168456583328362e-05,0.05772245814261381,2.3147375382132266e-05,0.75,0.5835835835835835,0.6020599913279624,-0.23389693346696827
83,alexnet,transfer,Stylized ImageNet,1,8,0.7100059945326402,0.00011356403875138068,0.13529446670972664,9.802211271945236e-05,0.75,0.7097097097097097,0.9030899869919435,-0.14891925304291576
84,alexnet,transfer,Stylized ImageNet,2,1,0.4995302639043806,4.616257875146994e-09,0.019270330208140018,8.426342428392894e-10,0.75,0.4994994994994995,0.0,-0.3014649426025924
85,alexnet,transfer,Stylized ImageNet,2,2,0.552002464497868,4.264254343068705e-06,0.032553980531594105,5.595784623590741e-06,0.75,0.5515515515515516,0.3010299956639812,-0.2584138893741973
86,alexnet,transfer,Stylized ImageNet,2,4,0.5663648754250292,2.7275285823455858e-05,0.05503779719422585,2.1229285176814867e-05,0.75,0.5665665665665666,0.6020599913279624,-0.24674905703771088
87,alexnet,transfer,Stylized ImageNet,2,8,0.6922779334065058,0.00048144021619692107,0.1696691610109623,0.00044881672175810217,0.75,0.6926926926926927,0.9030899869919435,-0.15945939376922447
88,alexnet,transfer,Stylized ImageNet,3,1,0.5092535901176988,3.0185482248062794e-08,0.02199690195855706,8.838199720865972e-09,0.75,0.5095095095095095,0.0,-0.2928477058892236
89,alexnet,transfer,Stylized ImageNet,3,2,0.559133879926448,2.367858708995693e-06,0.033482614917770825,2.423351734654514e-06,0.75,0.5595595595595596,0.3010299956639812,-0.2521536803395589
90,alexnet,transfer,Stylized ImageNet,3,4,0.5711137286203732,2.7558643921676847e-05,0.05542793363991884,2.1297895890816627e-05,0.75,0.5715715715715716,0.6020599913279624,-0.24292937998013425
91,alexnet,transfer,Stylized ImageNet,3,8,0.6841655785533688,0.00015132298818956114,0.13757142943963604,0.00012868953666186905,0.75,0.6836836836836837,0.9030899869919435,-0.16514478454444972
92,alexnet,transfer,Stylized ImageNet,4,1,0.5247438714889712,3.360368213370721e-08,0.020431027691079413,2.6659031515364138e-08,0.75,0.5245245245245245,0.0,-0.28023420124225573
93,alexnet,transfer,Stylized ImageNet,4,2,0.5605522751342891,6.220413315958014e-06,0.03518971523901262,5.829084735166162e-06,0.75,0.5605605605605606,0.3010299956639812,-0.2513774612197819
94,alexnet,transfer,Stylized ImageNet,4,4,0.5920018802891494,3.738493170328976e-05,0.05681845125834719,2.858629986509053e-05,0.75,0.5915915915915916,0.6020599913279624,-0.22797800734472692
95,alexnet,transfer,Stylized ImageNet,4,8,0.6962084932437361,0.0001690911228542679,0.12503153089319913,0.00014074508048335637,0.75,0.6966966966966966,0.9030899869919435,-0.15695624861542024
96,alexnet,transfer,Stylized ImageNet,5,1,0.5183380107981639,4.0869841349922956e-08,0.021005243038058584,1.9361116316723348e-08,0.75,0.5185185185185185,0.0,-0.2852357284807493
97,alexnet,transfer,Stylized ImageNet,5,2,0.5659651717145725,2.5717729579664266e-06,0.03471333520346713,2.0871522496365643e-06,0.75,0.5655655655655656,0.3010299956639812,-0.24751704040654374
98,alexnet,transfer,Stylized ImageNet,5,4,0.5685942918742348,2.8501171493020438e-05,0.054706788514636014,2.2101618543879497e-05,0.75,0.5685685685685685,0.6020599913279624,-0.24521715251496348
99,alexnet,transfer,Stylized ImageNet,5,8,0.6741981632600405,0.00019112741310697845,0.13327538594639365,0.0001598659005575644,0.75,0.6746746746746747,0.9030899869919435,-0.1709055916906625
100,alexnet,transfer,Stylized ImageNet,6,1,0.49601799675964464,2.3986216072767213e-09,0.018121945187711777,4.096082497173971e-10,0.75,0.4964964964964965,0.0,-0.3040838117357848
101,alexnet,transfer,Stylized ImageNet,6,2,0.5438195846337266,4.336524019024403e-06,0.03272955478611177,6.082917822082537e-06,0.75,0.5435435435435435,0.3010299956639812,-0.2647656586371354
102,alexnet,transfer,Stylized ImageNet,6,4,0.559520516069435,2.7645173481793272e-05,0.054519799731421945,2.1761938152872953e-05,0.75,0.5595595595595596,0.6020599913279624,-0.2521536803395589
103,alexnet,transfer,Stylized ImageNet,6,8,0.6822660473345746,0.0001567981950693694,0.14645192780505864,0.00013613250394134787,0.75,0.6826826826826827,0.9030899869919435,-0.16578111356950337
104,alexnet,transfer,Stylized ImageNet,7,1,0.49176030148452865,3.0614737295109737e-10,0.01493379533080085,4.442170846546682e-11,0.75,0.49149149149149146,0.0,-0.30848399610301386
105,alexnet,transfer,Stylized ImageNet,7,2,0.567607019274255,1.2526336758741745e-05,0.041764926578955655,9.717352484553737e-06,0.75,0.5675675675675675,0.3010299956639812,-0.2459824293330757
106,alexnet,transfer,Stylized ImageNet,7,4,0.5846884165683546,9.522667564785922e-05,0.07898555765885461,7.434783285875813e-05,0.75,0.5845845845845846,0.6020599913279624,-0.2331526411135828
107,alexnet,transfer,Stylized ImageNet,7,8,0.7482612628914059,0.000380802978055802,0.19018594160682858,0.0003961036166968923,0.75,0.7487487487487487,0.9030899869919435,-0.12566389036152095
108,alexnet,transfer,Stylized ImageNet,8,1,0.5088951633773452,2.29441343582046e-08,0.018952855849097946,5.172585448958472e-09,0.75,0.5085085085085085,0.0,-0.2937017759420631
109,alexnet,transfer,Stylized ImageNet,8,2,0.558966790316219,5.711276299965087e-06,0.033745026627145874,5.825307669281323e-06,0.75,0.5585585585585585,0.3010299956639812,-0.2529312892884036
110,alexnet,transfer,Stylized ImageNet,8,4,0.5900568695150499,2.9582158029646927e-05,0.055921034112734316,2.2548133048496924e-05,0.75,0.5895895895895896,0.6020599913279624,-0.22945019343888062
111,alexnet,transfer,Stylized ImageNet,8,8,0.6713006439452772,0.0002178333825864363,0.13492432714398328,0.00018255318505892075,0.75,0.6716716716716716,0.9030899869919435,-0.17284296805699026
112,alexnet,transfer,"DomainNet, Clipart domain",1,1,0.7282074404794873,0.00015250610824142475,0.08582824527931437,0.00011920037391061827,0.75,0.7277277277277278,0.0,-0.13803107736694445
113,alexnet,transfer,"DomainNet, Clipart domain",1,2,0.7562677507527749,2.343526081778231e-06,0.03848380653717984,1.543656412812545e-06,0.75,0.7567567567567568,0.3010299956639812,-0.12104369272477576
114,alexnet,transfer,"DomainNet, Clipart domain",1,4,0.7880214958911747,3.595252518025104e-06,0.04492821633103511,2.530003355343188e-06,0.75,0.7877877877877878,0.6020599913279624,-0.10359075586691774
115,alexnet,transfer,"DomainNet, Clipart domain",1,8,0.8218637454989837,7.507300287000509e-06,0.054765837468065945,6.016082110162746e-06,0.75,0.8218218218218218,0.9030899869919435,-0.08522233110654152
116,alexnet,transfer,"DomainNet, Clipart domain",2,1,0.7892245853553684,5.449887400355955e-05,0.05400976198873823,4.049948083556584e-05,0.75,0.7887887887887888,0.0,-0.10303927073642699
117,alexnet,transfer,"DomainNet, Clipart domain",2,2,0.7805513598334545,4.002466962671684e-06,0.03726529388305619,2.283871015086629e-06,0.75,0.7807807807807807,0.3010299956639812,-0.10747088553550194
118,alexnet,transfer,"DomainNet, Clipart domain",2,4,0.8282513547956369,1.5473123618047637e-06,0.042216088218486846,1.403083737018664e-06,0.75,0.8278278278278278,0.6020599913279624,-0.08205997867343563
119,alexnet,transfer,"DomainNet, Clipart domain",2,8,0.8580659411228404,8.802359542956566e-06,0.05814920479404743,7.069982717187594e-06,0.75,0.8578578578578578,0.9030899869919435,-0.06658466630278415
120,alexnet,transfer,"DomainNet, Clipart domain",3,1,0.787150668963975,0.00010764616728543505,0.05861578319411611,8.076876538335592e-05,0.75,0.7867867867867868,0.0,-0.10414294218657438
121,alexnet,transfer,"DomainNet, Clipart domain",3,2,0.7714896585134591,3.0373986310337455e-06,0.03611373507444518,1.595137399747723e-06,0.75,0.7717717717717718,0.3010299956639812,-0.11251111017502531
122,alexnet,transfer,"DomainNet, Clipart domain",3,4,0.7899413992249276,5.402924373639037e-06,0.04788787613987752,3.928116753150197e-06,0.75,0.7897897897897898,0.6020599913279624,-0.10248848501656202
123,alexnet,transfer,"DomainNet, Clipart domain",3,8,0.7840847641453543,6.607078759920945e-07,0.05740738068065599,4.917533793802116e-07,0.75,0.7837837837837838,0.9030899869919435,-0.10580372616803892
124,alexnet,transfer,"DomainNet, Clipart domain",4,1,0.7902234878915109,2.5485482293552992e-05,0.048542211644399993,1.8615878889699588e-05,0.75,0.7897897897897898,0.0,-0.10248848501656202
125,alexnet,transfer,"DomainNet, Clipart domain",4,2,0.7652073848531877,4.658449029389623e-06,0.036584844959011,2.5844438514728614e-06,0.75,0.7647647647647647,0.3010299956639812,-0.1164721296502924
126,alexnet,transfer,"DomainNet, Clipart domain",4,4,0.7711376451084923,2.5093449138613847e-06,0.04629927662738679,1.6933098166763446e-06,0.75,0.7707707707707707,0.6020599913279624,-0.11307476305350046
127,alexnet,transfer,"DomainNet, Clipart domain",4,8,0.805423385557367,2.4821247487322955e-06,0.058579558471143295,1.9247207633652203e-06,0.75,0.8058058058058059,0.9030899869919435,-0.09376960785811377
128,alexnet,transfer,"DomainNet, Clipart domain",5,1,0.763047944791817,0.00021788592021557162,0.07904911315287433,0.00016936661564588077,0.75,0.7627627627627628,0.0,-0.1176105168863818
129,alexnet,transfer,"DomainNet, Clipart domain",5,2,0.745253963308071,1.1460317250102508e-07,0.03779896983786687,9.398816855352856e-08,0.75,0.7457457457457457,0.3010299956639812,-0.1274092154776895
130,alexnet,transfer,"DomainNet, Clipart domain",5,4,0.7456810562751709,8.621097945979396e-07,0.0444630050015997,6.711457164403568e-07,0.75,0.7457457457457457,0.6020599913279624,-0.1274092154776895
131,alexnet,transfer,"DomainNet, Clipart domain",5,8,0.7511795855122548,1.4697788176450213e-06,0.05576960653849529,1.1058277259740156e-06,0.75,0.7507507507507507,0.9030899869919435,-0.12450422483428228
132,alexnet,transfer,"DomainNet, Clipart domain",6,1,0.7855290751109982,5.88095987834958e-05,0.053926741921556796,4.3300591076993356e-05,0.75,0.7857857857857857,0.0,-0.10469583148072979
133,alexnet,transfer,"DomainNet, Clipart domain",6,2,0.7874906552180251,2.2520494478991976e-06,0.03876016125267702,1.4586475902038511e-06,0.75,0.7877877877877878,0.3010299956639812,-0.10359075586691774
134,alexnet,transfer,"DomainNet, Clipart domain",6,4,0.8333602441569472,1.4320389759035902e-06,0.038700208839298963,1.322593408540584e-06,0.75,0.8338338338338338,0.6020599913279624,-0.07892048681919474
135,alexnet,transfer,"DomainNet, Clipart domain",6,8,0.8481684140215533,6.084101717479251e-06,0.05866085395770115,4.878030866778631e-06,0.75,0.8478478478478478,0.9030899869919435,-0.0716820778952754
136,alexnet,transfer,"DomainNet, Clipart domain",7,1,0.7671374614822322,0.00015804060253607556,0.07170117561215353,0.00012111848263063655,0.75,0.7667667667667668,0.0,-0.11533671859337837
137,alexnet,transfer,"DomainNet, Clipart domain",7,2,0.7648738418796746,1.358692082156007e-06,0.035744827133067966,7.355309848973075e-07,0.75,0.7647647647647647,0.3010299956639812,-0.1164721296502924
138,alexnet,transfer,"DomainNet, Clipart domain",7,4,0.7888037365048878,5.40968107537613e-07,0.045827643968818346,3.856063394792571e-07,0.75,0.7887887887887888,0.6020599913279624,-0.10303927073642699
139,alexnet,transfer,"DomainNet, Clipart domain",7,8,0.8212309914392378,1.1245546478780042e-05,0.0575572862789491,8.940744505513169e-06,0.75,0.8208208208208209,0.9030899869919435,-0.0857516358422656
140,alexnet,transfer,"DomainNet, Clipart domain",8,1,0.814131829470799,4.261259841980088e-05,0.044371163170603745,3.7256339261166195e-05,0.75,0.8138138138138138,0.0,-0.08947494263191416
141,alexnet,transfer,"DomainNet, Clipart domain",8,2,0.7827542229175058,2.360738430972925e-06,0.038611779521882224,1.4311091222114372e-06,0.75,0.7827827827827828,0.3010299956639812,-0.1063587351661343
142,alexnet,transfer,"DomainNet, Clipart domain",8,4,0.7978977899220417,2.4879528246027513e-06,0.041965777398130094,1.9220628796338423e-06,0.75,0.7977977977977978,0.6020599913279624,-0.09810716682986996
143,alexnet,transfer,"DomainNet, Clipart domain",8,8,0.8145948910736799,2.9641538837249925e-06,0.05980928079858675,2.331527174121248e-06,0.75,0.8148148148148148,0.9030899869919435,-0.0889410833367811
144,VGG16,initialize,None,2,1,0.7725368620931854,inf,0.0019947596960232265,inf,0.75,0.7727727727727728,0.0,-0.11194818789024616
145,VGG16,initialize,None,2,2,0.7725368620931854,inf,0.0019947596960232265,inf,0.75,0.7727727727727728,0.3010299956639812,-0.11194818789024616
146,VGG16,initialize,None,2,4,0.7725368620931854,inf,0.0019947596960232265,inf,0.75,0.7727727727727728,0.6020599913279624,-0.11194818789024616
147,VGG16,initialize,None,2,8,0.7725368620931854,inf,0.0019947596960232265,inf,0.75,0.7727727727727728,0.9030899869919435,-0.11194818789024616
